mode,scenario,run,samples,average_fps,one_percent_low_fps,p95_frame_ms,max_frame_ms,total_gc_bytes,peak_gc_per_frame_bytes,memory_start_bytes,peak_memory_bytes,memory_end_bytes,projectiles_created,projectiles_reused,peak_active_projectiles
Pooling,Gameplay,1,1820,30.319,18.439,33.092,328.082,2374454,2792,765255680,819224576,815915008,0,40,3
Pooling,Gameplay,2,1828,30.452,23.553,33.012,82.452,2383006,2792,408121344,440766464,436760576,0,40,3
Pooling,Gameplay,3,1827,30.436,24.037,33.142,82.012,2372158,2384,447758336,460546048,420466688,0,40,3
InstantiateDestroy,Gameplay,1,1830,30.494,28.890,32.931,49.174,2386616,2384,755728384,770269184,761913344,40,0,3
InstantiateDestroy,Gameplay,2,1829,30.469,28.439,32.944,49.198,2382262,2384,775962624,812556288,809480192,40,0,3
InstantiateDestroy,Gameplay,3,1829,30.469,27.022,32.977,49.205,2382630,2384,704532480,715485184,673046528,40,0,3
InstantiateDestroy,Stress,1,1802,30.028,13.098,33.064,557.520,3462536,11840,751964160,765718528,705544192,1200,0,91
InstantiateDestroy,Stress,2,1829,30.477,27.600,33.001,49.202,3498070,3344,722518016,729542656,697335808,1200,0,82
InstantiateDestroy,Stress,3,1813,30.204,15.290,33.122,410.076,3477590,8960,666185728,674197504,592674816,1200,0,88
Pooling,Stress,1,1728,28.794,4.562,33.030,2181.296,3147568,36160,656588800,699064320,605573120,4,1196,124
Pooling,Stress,2,1829,30.477,27.380,33.047,49.304,3280030,3160,606027776,645656576,594014208,0,1200,82
Pooling,Stress,3,1827,30.436,25.206,33.024,65.532,3271950,3160,612593664,622747648,612855808,0,1200,82
